pool_id,ticker,stake_ada,pledge_ada,nu,pi,A,base,bonus,E,reward_at_pbar1_ada
pool1yh7ksvg54nger73ldnf22cgwyh0dnm4aerahdd0kdukjqeacy32,N/A,67571843,0,0.877684,0.000000,0.000000,0.675142,0.000000,0.675142,20975
pool18xu4fh88v4naq5u3x9ya5aevfkrfd7a8a4gw6sejdvjnsrpud2a,,67080729,0,0.871305,0.000000,0.000000,0.670235,0.000000,0.670235,20822
pool1a8n7f97dmgtgrnl53exccknjdchqxrr9508hlxlgqp6xvjmzhej,HAPPY,66863862,130000,0.868488,0.001689,0.001466,0.668068,0.000338,0.668406,20765
pool13k6tphjfsgqdq7h27p4x86ruchcdg2x073luw8pndh3ajxvwvja,BLC,65160542,1000,0.846364,0.000013,0.000011,0.651049,0.000003,0.651052,20226
pool19pyfv4xnln8x4l7auw0n0skk3hd97shun707hrw5d4s553ys74x,TITAN,64959200,250000,0.843749,0.003247,0.002738,0.649038,0.000632,0.649670,20183
pool1ff2hr0sukqqd75jr2rh3wrmnesxqgpq42dgd6rm3ungnqp904ue,BD3,64809224,200,0.841801,0.000003,0.000002,0.647539,0.000001,0.647540,20117
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,OCTAS,64661929,50000,0.839888,0.000649,0.000545,0.646067,0.000126,0.646193,20075
pool1whmm0hkxunyhxsr6dfjpx2tpvd05qhev820lx9vcmvqa5wjc6nh,1COMM,64162220,402000,0.833397,0.005222,0.004347,0.641075,0.001003,0.642078,19947
pool1zkdc6ve9nndk7vxnjlalhqt4hr5h8auz5qzjk7lrjrqtv23yuy5,CLOVR,64201243,101000,0.833904,0.001312,0.001094,0.641465,0.000252,0.641717,19936
pool1ddg6t2h9kj6lqlec4ncjs945lzj43m3ggrgdhf5sgzhtygpkznz,FAIR,64066423,100000,0.832153,0.001299,0.001081,0.640118,0.000249,0.640367,19894
pool1nz9h4raywm6mu2v8l7htuaqvmn06l3mepuaxynpzlwljsf8txhy,NORTH,63756951,10000,0.828133,0.000130,0.000108,0.637025,0.000025,0.637050,19791
pool1jakl9kqhx87ywc7fcxweaxvna9khxhzyh6v8j70u6zpaxa45ghh,THNDR,63359702,100,0.822973,0.000001,0.000001,0.633056,0.000000,0.633057,19667
pool1xs34q2z06a46nk7hl48d27dj5gzc6hh9trugw2ehs9ajsevqffx,SNAKE,63252499,15000,0.821581,0.000195,0.000160,0.631985,0.000037,0.632022,19635
pool16f95up5u5lyqne5mnxmlhe0rgdgmya27mph288r6gw0ukegjffa,MARAC,63015158,100000,0.818498,0.001299,0.001063,0.629614,0.000245,0.629859,19568
pool15s7w4spg5ee7n7rprhs0dq78plw2mhjkpu5v97uvl27gz2way7z,BALNC,62370392,100000,0.810123,0.001299,0.001052,0.623172,0.000243,0.623414,19368
pool1zz7x8ergn02chznayj9fjds2gk5q6prmpdr49faspd65kzqsrjs,AUTO,62360949,100,0.810001,0.000001,0.000001,0.623077,0.000000,0.623078,19357
pool19w5khsnmu27au0kprw0kjm8jr7knneysj7lfkqvnu66hyz0jxsx,ATAD2,61510688,1300000,0.798957,0.016886,0.013434,0.614582,0.003100,0.617682,19189
pool1vkc0dvuf8rxrch87umfayacgglrh8f88ef0f64xrdue5u2xjwfm,IFS1,61610026,0,0.800247,0.000000,0.000000,0.615575,0.000000,0.615575,19124
pool1lu2luhmkyayq9njh848kfknn6evwzmn3gzsxar7z3sttg7grxcm,PPTG1,61122372,500,0.793913,0.000006,0.000005,0.610702,0.000001,0.610703,18973
pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj,EVE7,61011669,10,0.792475,0.000000,0.000000,0.609596,0.000000,0.609596,18938
pool1j6xfryctrxm4aplw3vnrtgfsvqdr35exenxqse5kzxmfue7qqmr,N/A,60922777,0,0.791320,0.000000,0.000000,0.608708,0.000000,0.608708,18911
pool192pfftt48zc4x5aellvpufk6l6zxllpldw0rx82vrhqrqfhhqs2,EMUR5,60716384,500,0.788639,0.000006,0.000005,0.606646,0.000001,0.606647,18847
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,60275690,200000,0.782915,0.002598,0.002032,0.602243,0.000469,0.602712,18724
pool1u2fuz3fn5dfphf0cu0sewm4rnera445avenggle9sl4hy7rjzgv,N/A,60291736,0,0.783124,0.000000,0.000000,0.602403,0.000000,0.602403,18715
pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn,EVE6,60165539,10,0.781485,0.000000,0.000000,0.601142,0.000000,0.601142,18676
pool1m0drnjxsvnlesq0rwmur2rh6lenuql57jfzd6cf6aegj2cv7ugy,EMUR1,60013953,500,0.779516,0.000006,0.000005,0.599627,0.000001,0.599629,18629
pool1fd0q9h8974y6psejmzczlywy8fgxxy07rn2ynrwu734aqwq540p,,59675661,0,0.775122,0.000000,0.000000,0.596247,0.000000,0.596247,18524
pool1wpmjtfqcwvtcs9znpuulk99yk2zz6pfh0c4k9f2xlcspgqjndk2,MS4,59409970,100000,0.771671,0.001299,0.001002,0.593593,0.000231,0.593824,18448
pool173mzegwuu0pjcrt60ekelzj5haqr8r5e4e0n45qh9jdz7xm5kh8,ROCKY,59362476,100000,0.771054,0.001299,0.001001,0.593118,0.000231,0.593349,18434
pool1k0ucs0fau2vhr3p7qh7mnpfgrllwwda7petxjz2gzzaxkyp8f88,POLY,58779489,1000000,0.763481,0.012989,0.009877,0.587293,0.002279,0.589573,18316
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,58908394,1000,0.765156,0.000013,0.000010,0.588581,0.000002,0.588584,18285
