epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
248,2021-02-14,12832265659.375334,0.003000,0.988704,0.200000,0.180000,1,38496796.978126,38061925.753003,30449540.602402,False
249,2021-02-19,12807979499.513647,0.003000,0.989630,0.200000,0.160000,1,38423938.498541,38025468.025223,30420374.420178,False
250,2021-02-24,12783925491.495810,0.003000,0.971806,0.200000,0.140000,1,38351776.474487,37270469.443332,29816375.554665,False
251,2021-03-01,12759915292.888388,0.003000,0.987222,0.200000,0.120000,1,38279745.878665,37790615.792438,30232492.633950,False
252,2021-03-06,12736017185.934875,0.003000,0.976157,0.200000,0.100000,1,38208051.557805,37297072.550755,29837658.040604,False
253,2021-03-11,12711785646.200956,0.003000,0.968611,0.200000,0.080000,1,38135356.938603,36938330.456919,29550664.365535,False
254,2021-03-16,12688276934.220030,0.003000,0.958935,0.200000,0.060000,1,38064830.802660,36501705.574792,29201364.459833,False
255,2021-03-21,12665043040.299011,0.003000,0.984630,0.200000,0.060000,1,37995129.120897,37411129.914039,29928903.931231,False
256,2021-03-26,12641992243.076679,0.003000,0.974954,0.200000,0.020000,1,37925976.729230,36976071.478743,29580857.182995,False
257,2021-03-31,12618536190.581648,0.003000,0.964630,0.200000,0.000000,1,37855608.571745,36516641.675967,29213313.340773,False
258,2021-04-05,12595569991.053043,0.003000,0.973194,0.200000,0.000000,1,37786709.973159,36773816.219712,29419052.975770,False
259,2021-04-10,12572853459.591509,0.003000,0.962778,0.200000,0.000000,1,37718560.378775,36314591.742453,29051673.393963,False
260,2021-04-15,12549908795.306835,0.003000,0.974398,0.200000,0.000000,1,37649726.385921,36685823.668725,29348658.934980,False
261,2021-04-20,12527064254.027632,0.003000,0.976250,0.200000,0.000000,1,37581192.762083,36688639.433983,29350911.547187,False
262,2021-04-25,12503994895.122528,0.003000,0.981204,0.200000,0.000000,1,37511984.685368,36806898.306559,29445518.645247,False
263,2021-04-30,12480979868.875769,0.003000,0.977361,0.200000,0.000000,1,37442939.606627,36595273.057199,29276218.445760,False
264,2021-05-05,12457884526.305649,0.003000,0.978102,0.200000,0.000000,1,37373653.578917,36555239.776008,29244191.820807,False
265,2021-05-10,12434957914.838903,0.003000,0.991991,0.200000,0.000000,1,37304873.744517,37006089.339063,29604871.471250,False
266,2021-05-15,12411854285.907938,0.003000,0.990926,0.200000,0.000000,1,37235562.857724,36897684.602163,29518147.681730,False
267,2021-05-20,12388414463.130348,0.003000,1.000000,0.200000,0.000000,1,37165243.389391,37165243.389391,29732194.711513,False
