epoch_no,update_cnt,registration_update_cnt,deregistration_update_cnt,distinct_updated_pool_cnt,median_margin_pct,median_fixed_cost_ada,pct_fixed_cost_340
479,29,29,0,25,2.0,340.0,71.97875166002656
480,38,38,0,37,2.0,340.0,71.91122888373633
481,29,29,0,28,2.0,340.0,71.83984116479152
482,26,26,0,25,2.0,340.0,71.74991730069468
483,56,56,0,40,2.0,340.0,71.73051519154558
484,38,38,0,32,2.0,340.0,71.6589861751152
485,39,39,0,29,2.0,340.0,71.38157894736842
486,34,34,0,31,2.0,340.0,71.28322940597309
487,25,25,0,22,2.0,340.0,71.25984251968504
488,36,36,0,34,2.0,340.0,71.22703412073491
489,12,12,0,11,2.0,340.0,71.21759107318674
490,18,18,0,18,2.0,340.0,71.1892247043364
491,23,23,0,20,2.0,340.0,71.22657020716869
492,11,11,0,11,2.0,340.0,71.16080236764222
493,25,25,0,21,2.0,340.0,71.08552631578947
494,15,15,0,15,2.0,340.0,71.03357472021067
495,19,19,0,18,2.0,340.0,71.10378912685337
496,19,19,0,18,2.0,340.0,71.04743083003953
497,34,34,0,31,2.0,340.0,71.1133069828722
498,16,16,0,16,2.0,340.0,71.03357472021067
499,45,45,0,34,2.0,340.0,70.97729516288253
500,31,31,0,23,2.0,340.0,70.96349884906282
501,16,16,0,13,2.0,340.0,70.95394736842105
502,22,22,0,17,2.0,340.0,70.89232795521897
503,26,26,0,15,2.0,340.0,70.90609555189457
504,24,24,0,23,2.0,340.0,70.89108910891089
505,31,31,0,23,2.0,340.0,70.83470801715606
506,15,15,0,14,2.0,340.0,70.77278731836195
507,16,16,0,15,2.0,340.0,70.73009580442682
508,23,23,0,20,2.0,340.0,70.62520674826331
509,16,16,0,14,2.0,340.0,70.63492063492063
510,32,32,0,21,2.0,340.0,70.54930509596294
511,26,26,0,17,2.0,340.0,70.52596758187232
512,40,40,0,39,2.0,340.0,70.60575968222443
513,17,17,0,15,2.0,340.0,70.60575968222443
514,10,10,0,10,2.0,340.0,70.60575968222443
515,9,9,0,6,2.0,340.0,70.55112881806109
516,20,20,0,17,2.0,340.0,70.4983388704319
517,15,15,0,13,2.0,340.0,70.44547872340425
518,20,20,0,16,2.0,340.0,70.39867109634551
519,19,19,0,17,2.0,340.0,70.4122340425532
520,10,10,0,9,2.0,340.0,70.32236623462944
521,16,16,0,12,2.0,340.0,70.28913260219342
522,18,18,0,15,2.0,340.0,70.30625832223701
523,11,11,0,11,2.0,340.0,70.40986337887371
524,27,27,0,22,2.0,340.0,70.39013004334778
525,42,42,0,39,2.0,340.0,70.27388109552439
526,43,43,0,39,2.0,340.0,70.0768973587429
527,28,28,0,26,2.0,340.0,69.93639102778708
528,32,32,0,30,2.0,340.0,69.8252688172043
529,27,27,0,23,2.0,340.0,69.9260752688172
530,26,26,0,26,2.0,340.0,69.55788052649342
531,26,26,0,22,2.0,340.0,69.56815114709852
532,24,24,0,20,2.0,340.0,69.46410515672396
533,20,20,0,17,2.0,340.0,69.12364130434783
534,24,24,0,18,2.0,340.0,69.08409942117807
535,31,31,0,24,2.0,340.0,68.91385767790263
536,31,31,0,24,2.0,340.0,68.84798909338787
537,28,28,0,24,2.0,340.0,68.71165644171779
538,28,28,0,20,2.0,340.0,68.67963152507677
539,19,19,0,18,2.0,340.0,68.70307167235495
540,16,16,0,15,2.0,340.0,68.6582451348583
541,20,20,0,19,2.0,340.0,68.61139542818151
542,14,14,0,10,2.0,340.0,68.62210095497954
543,28,28,0,21,2.0,340.0,68.69031377899046
544,19,19,0,13,2.0,340.0,68.67963152507677
545,20,20,0,16,2.0,340.0,68.61139542818151
546,32,32,0,26,2.0,340.0,68.6582451348583
547,22,22,0,16,2.0,340.0,68.60068259385666
548,22,22,0,21,2.0,340.0,68.64551347662913
549,15,15,0,12,2.0,340.0,68.58996244452031
550,18,18,0,16,2.0,340.0,68.5412406271302
551,17,17,0,14,2.0,340.0,68.48381601362861
552,16,16,0,14,2.0,340.0,68.49455040871935
553,18,18,0,16,2.0,340.0,68.31345826235093
554,19,19,0,16,2.0,340.0,68.21124361158432
555,10,10,0,9,2.0,340.0,68.16479400749064
556,12,12,0,11,2.0,340.0,68.12137742925333
557,21,21,0,16,2.0,340.0,68.13524590163934
558,13,13,0,11,2.0,340.0,68.2035519125683
559,7,7,0,7,2.0,340.0,68.2268534335497
560,19,19,0,18,2.0,340.0,68.19268875982235
561,9,9,0,8,2.0,340.0,68.12585499316005
562,27,27,0,15,2.0,340.0,67.96714579055441
563,13,13,0,11,2.0,340.0,67.94520547945206
564,13,13,0,13,2.0,340.0,67.86447638603697
565,19,19,0,18,2.0,340.0,67.85104202254868
566,27,27,0,22,2.0,340.0,67.86324786324786
567,21,21,0,21,2.0,340.0,67.88770968846286
568,9,9,0,8,2.0,340.0,67.92194453954126
569,13,13,0,13,2.0,340.0,67.85347483738445
570,21,21,0,14,2.0,340.0,67.807047553883
571,14,14,0,14,2.0,340.0,67.76180698151951
572,10,10,0,9,2.0,340.0,67.68230058199248
573,30,30,0,20,2.0,340.0,67.71761480466073
574,23,23,0,19,2.0,340.0,67.66015758821514
575,15,15,0,15,2.0,340.0,67.66015758821514
576,16,16,0,14,2.0,340.0,67.6027397260274
577,12,12,0,12,2.0,340.0,67.48886605001712
578,13,13,0,13,2.0,340.0,67.43150684931507
579,19,19,0,17,2.0,340.0,67.3076923076923
580,41,41,0,32,2.0,340.0,67.40994854202401
581,34,34,0,29,2.0,340.0,67.26088447034626
582,20,20,0,15,1.9945000000000002,340.0,67.84968684759917
583,18,18,0,16,1.9900000000000002,340.0,67.78126088470916
584,27,27,0,24,1.9994999999999998,340.0,67.54874651810584
585,13,13,0,13,1.9900000000000002,340.0,67.5365344467641
586,10,10,0,9,1.9900000000000002,340.0,67.46694502435629
587,10,10,0,10,1.9900000000000002,340.0,67.44266851980541
588,20,20,0,18,1.9900000000000002,340.0,67.41924279263634
589,14,14,0,13,1.9900000000000002,340.0,67.43055555555556
590,24,24,0,22,1.9900000000000002,340.0,67.41924279263634
591,44,44,0,33,1.9900000000000002,340.0,67.22338204592901
592,18,18,0,17,1.999,340.0,67.13043478260869
593,25,25,0,23,1.9945000000000002,340.0,67.08420320111344
594,4,4,0,4,1.999,340.0,67.0846394984326
595,24,24,0,17,1.9900000000000002,340.0,67.16626002091321
596,15,15,0,15,2.0,340.0,66.88672689367617
597,20,20,0,19,2.0,340.0,66.875
598,23,23,0,19,2.0,340.0,66.80555555555556
599,24,24,0,22,2.0,340.0,66.73611111111111
600,26,26,0,23,2.0,340.0,66.57420249653259
601,27,27,0,24,2.0,340.0,66.6204024982651
602,19,19,0,16,2.0,340.0,66.66666666666666
603,17,17,0,14,2.0,340.0,66.60875608061153
604,12,12,0,11,2.0,340.0,66.62030598052851
605,12,12,0,12,2.0,340.0,66.65508857242098
606,16,16,0,12,2.0,340.0,66.57410621312044
607,13,13,0,8,2.0,340.0,66.59722222222221
608,16,16,0,14,2.0,340.0,66.65502793296089
609,22,22,0,21,2.0,340.0,66.5387299371947
610,10,10,0,10,2.0,340.0,66.5387299371947
611,17,17,0,17,2.0,340.0,66.4695652173913
612,14,14,0,13,2.0,340.0,66.45789839944328
613,19,19,0,18,2.0,340.0,66.39972144846796
614,8,8,0,8,2.0,340.0,66.4808362369338
615,15,15,0,14,2.0,340.0,66.49251132009752
